frame,stream_ms,visible,upload_est,overlay_stream_ms,overlay_visible,overlay_upload_est,mlod_ms
0,0.5694171413779259,4096,64,0.0004998873919248581,4096,64,15.200583962723613
1,1.5393330249935389,4096,64,0.001125037670135498,4096,64,15.200583962723613
2,2.5369999930262566,4096,64,0.0009580980986356735,4096,64,15.200583962723613
3,1.9312500953674316,4096,64,0.000250060111284256,4096,64,15.200583962723613
4,0.9458751883357763,4096,64,0.0001671724021434784,4096,64,15.200583962723613
5,2.457458060234785,4096,64,8.312053978443146e-05,4096,64,15.200583962723613
6,1.1487500742077827,4096,64,4.21423465013504e-05,4096,64,15.200583962723613
7,3.465500194579363,4096,64,8.312053978443146e-05,4096,64,15.200583962723613
8,1.8674579914659262,4096,64,8.312053978443146e-05,4096,64,15.200583962723613
9,4.9075831193476915,4096,64,0.0006249174475669861,4096,64,15.200583962723613
10,2.8191248420625925,4096,64,0.00020884908735752106,4096,64,11.723750038072467
11,6.394417025148869,4096,64,0.0006249174475669861,4096,64,11.723750038072467
12,3.234375035390258,4096,64,0.000125030055642128,4096,64,11.723750038072467
13,7.902750046923757,4096,64,0.000250060111284256,4096,64,11.723750038072467
14,3.3343329560011625,4096,64,0.0003748573362827301,4096,64,11.723750038072467
15,9.752166923135519,4096,64,8.288770914077759e-05,4096,64,11.723750038072467
16,4.714749986305833,4096,64,0.00020791776478290558,4096,64,11.723750038072467
17,12.638333020731807,4096,64,0.000125030055642128,4096,64,11.723750038072467
18,6.428875029087067,4096,64,0.00045797787606716156,4096,64,11.723750038072467
19,17.8572500590235,4096,64,0.0002919696271419525,4096,64,11.723750038072467
20,10.108917020261288,4096,64,0.000833999365568161,4096,64,13.635666109621525
21,20.53587487898767,4096,64,0.0009159557521343231,4096,64,13.635666109621525
22,7.350499974563718,4096,64,0.0002919696271419525,4096,64,13.635666109621525
23,21.53058396652341,4096,64,0.000583939254283905,4096,64,13.635666109621525
24,5.00608398579061,4096,64,0.0002919696271419525,4096,64,13.635666109621525
25,2.22966680303216,4096,64,0.0003748573362827301,4096,64,13.635666109621525
26,2.099582925438881,4096,64,8.312053978443146e-05,4096,64,13.635666109621525
27,2.1639589685946703,4096,64,4.1211023926734924e-05,4096,64,13.635666109621525
28,2.0309160463511944,4096,64,8.312053978443146e-05,4096,64,13.635666109621525
29,2.0498752128332853,4096,64,4.0978193283081055e-05,4096,64,13.635666109621525
30,2.458541886880994,4096,64,0.0001671724021434784,4096,64,13.122832868248224
31,2.36149993725121,4096,64,0.00016600824892520905,4096,64,13.122832868248224
32,2.110500121489167,4096,64,0.0002498272806406021,4096,64,13.122832868248224
33,2.0052921026945114,4096,64,0.000125030055642128,4096,64,13.122832868248224
34,1.961834030225873,4096,64,8.288770914077759e-05,4096,64,13.122832868248224
35,2.00224993750453,4096,64,4.0978193283081055e-05,4096,64,13.122832868248224
36,2.0610839128494263,4096,64,8.288770914077759e-05,4096,64,13.122832868248224
37,2.2893750574439764,4096,64,0.00012479722499847412,4096,64,13.122832868248224
38,2.1109580993652344,4096,64,0.0003748573362827301,4096,64,13.122832868248224
39,2.055125078186393,4096,64,0.000125030055642128,4096,64,13.122832868248224
40,2.0294999703764915,4096,64,0.000125030055642128,4096,64,15.602166997268796
41,2.0028341095894575,4096,64,0.00033294782042503357,4096,64,15.602166997268796
42,2.094333991408348,4096,64,0.000125030055642128,4096,64,15.602166997268796
43,1.9860418979078531,4096,64,8.288770914077759e-05,4096,64,15.602166997268796
44,1.9974999595433474,4096,64,4.190951585769653e-05,4096,64,15.602166997268796
45,1.9925842061638832,4096,64,8.312053978443146e-05,4096,64,15.602166997268796
46,2.190415980294347,4096,64,0.0002919696271419525,4096,64,15.602166997268796
47,1.9467088859528303,4096,64,0.0002919696271419525,4096,64,15.602166997268796
48,1.9625420682132244,4096,64,4.0978193283081055e-05,4096,64,15.602166997268796
49,1.9933339208364487,4096,64,8.405186235904694e-05,4096,64,15.602166997268796
50,2.1006669849157333,4096,64,4.1211023926734924e-05,4096,64,13.130333041772246
51,2.3971248883754015,4096,64,0.00045821070671081543,4096,64,13.130333041772246
52,2.062208019196987,4096,64,8.288770914077759e-05,4096,64,13.130333041772246
53,2.2569168359041214,4096,64,8.288770914077759e-05,4096,64,13.130333041772246
54,2.113708993420005,4096,64,0.00029103830456733704,4096,64,13.130333041772246
55,2.34250002540648,4096,64,4.21423465013504e-05,4096,64,13.130333041772246
56,1.9797079730778933,4096,64,8.288770914077759e-05,4096,64,13.130333041772246
57,2.035499783232808,4096,64,4.21423465013504e-05,4096,64,13.130333041772246
58,2.068958943709731,4096,64,0.0,4096,64,13.130333041772246
59,2.3019579239189625,4096,64,8.405186235904694e-05,4096,64,13.130333041772246
60,2.084125066176057,4096,64,0.0002919696271419525,4096,64,13.465667143464088
61,2.4706670083105564,4096,64,0.00045890919864177704,4096,64,13.465667143464088
62,2.1156249567866325,4096,64,0.00016600824892520905,4096,64,13.465667143464088
63,1.9653751514852047,4096,64,4.190951585769653e-05,4096,64,13.465667143464088
64,1.9656249787658453,4096,0,0.000125030055642128,4096,0,13.465667143464088
65,2.0166251342743635,4096,0,8.312053978443146e-05,4096,0,13.465667143464088
66,1.992708072066307,4096,0,8.288770914077759e-05,4096,0,13.465667143464088
67,2.2747910115867853,4096,0,8.288770914077759e-05,4096,0,13.465667143464088
68,2.257541986182332,4096,0,0.000416068360209465,4096,0,13.465667143464088
69,2.0368751138448715,4096,0,0.000125030055642128,4096,0,13.465667143464088
70,1.9884579814970493,4096,0,8.405186235904694e-05,4096,0,13.971167150884867
71,2.028167014941573,4096,0,0.00037509016692638397,4096,0,13.971167150884867
72,2.2222918923944235,4096,0,0.00020791776478290558,4096,0,13.971167150884867
73,2.1160831674933434,4096,0,4.190951585769653e-05,4096,0,13.971167150884867
74,2.0301248878240585,4096,0,0.000125030055642128,4096,0,13.971167150884867
75,1.9224160350859165,4096,0,0.0002919696271419525,4096,0,13.971167150884867
76,2.2678750101476908,4096,0,0.00020815059542655945,4096,0,13.971167150884867
77,1.948416931554675,4096,0,0.000125030055642128,4096,0,13.971167150884867
78,2.004208043217659,4096,0,4.21423465013504e-05,4096,0,13.971167150884867
79,1.9872921984642744,4096,0,8.288770914077759e-05,4096,0,13.971167150884867
80,2.3189999628812075,4096,0,8.405186235904694e-05,4096,0,13.211666140705347
81,2.5307079777121544,4096,0,0.00033294782042503357,4096,0,13.211666140705347
82,1.98487495072186,4096,0,4.21423465013504e-05,4096,0,13.211666140705347
83,2.0859159994870424,4096,0,0.0003748573362827301,4096,0,13.211666140705347
84,2.1680418867617846,4096,0,8.381903171539307e-05,4096,0,13.211666140705347
85,2.056791912764311,4096,0,4.190951585769653e-05,4096,0,13.211666140705347
86,2.056750003248453,4096,0,4.190951585769653e-05,4096,0,13.211666140705347
87,2.0075421780347824,4096,0,4.190951585769653e-05,4096,0,13.211666140705347
88,2.0477089565247297,4096,0,8.312053978443146e-05,4096,0,13.211666140705347
89,1.989792101085186,4096,0,8.312053978443146e-05,4096,0,13.211666140705347
90,2.2925420198589563,4096,0,0.00012479722499847412,4096,0,12.771625071763992
91,2.642999868839979,4096,0,0.000583939254283905,4096,0,12.771625071763992
92,2.0690420642495155,4096,0,0.0001671724021434784,4096,0,12.771625071763992
93,1.9940000493079424,4096,0,8.405186235904694e-05,4096,0,12.771625071763992
94,2.0805830135941505,4096,0,4.21423465013504e-05,4096,0,12.771625071763992
95,2.050834009423852,4096,0,4.190951585769653e-05,4096,0,12.771625071763992
96,1.9880000036209822,4096,0,4.21423465013504e-05,4096,0,12.771625071763992
97,2.0089170429855585,4096,0,4.190951585769653e-05,4096,0,12.771625071763992
98,2.25725001655519,4096,0,0.0,4096,0,12.771625071763992
99,2.303958870470524,4096,0,8.312053978443146e-05,4096,0,12.771625071763992
100,2.2317501716315746,4096,0,8.288770914077759e-05,4096,0,14.209666987881064
101,2.1303328685462475,4096,0,0.0008749775588512421,4096,0,14.209666987881064
102,2.0376250613480806,4096,0,0.0002498272806406021,4096,0,14.209666987881064
103,2.061625011265278,4096,0,8.405186235904694e-05,4096,0,14.209666987881064
104,2.313958015292883,4096,0,8.312053978443146e-05,4096,0,14.209666987881064
105,2.217999892309308,4096,0,0.00037509016692638397,4096,0,14.209666987881064
106,1.9551250152289867,4096,0,0.00020884908735752106,4096,0,14.209666987881064
107,2.0779999904334545,4096,0,4.190951585769653e-05,4096,0,14.209666987881064
108,1.9671670161187649,4096,0,8.405186235904694e-05,4096,0,14.209666987881064
109,2.0603749435395002,4096,0,4.21423465013504e-05,4096,0,14.209666987881064
110,1.9941250793635845,4096,0,8.405186235904694e-05,4096,0,13.048833003267646
111,4.52887499704957,4096,0,0.0004998873919248581,4096,0,13.048833003267646
112,2.328915987163782,4096,0,0.00033294782042503357,4096,0,13.048833003267646
113,1.99525011703372,4096,0,0.00020908191800117493,4096,0,13.048833003267646
114,2.091499976813793,4096,0,0.000125030055642128,4096,0,13.048833003267646
115,1.9739170093089342,4096,0,8.312053978443146e-05,4096,0,13.048833003267646
116,2.324875211343169,4096,0,8.405186235904694e-05,4096,0,13.048833003267646
117,1.9664580468088388,4096,0,4.21423465013504e-05,4096,0,13.048833003267646
118,2.189874881878495,4096,0,4.21423465013504e-05,4096,0,13.048833003267646
119,2.087209140881896,4096,0,8.288770914077759e-05,4096,0,13.048833003267646
120,2.0331249106675386,4096,0,4.21423465013504e-05,4096,0,14.332917053252459
