frame,stream_ms,visible,upload_est,overlay_stream_ms,overlay_visible,overlay_upload_est,mlod_ms
0,0.6410412024706602,4096,64,0.000416068360209465,4096,64,12.719667050987482
1,1.4978330582380295,4096,64,0.0013331882655620575,4096,64,12.719667050987482
2,2.486791927367449,4096,64,0.00100000761449337,4096,64,12.719667050987482
3,1.778709003701806,4096,64,0.00016600824892520905,4096,64,12.719667050987482
4,1.4660840388387442,4096,64,0.000125030055642128,4096,64,12.719667050987482
5,2.620832994580269,4096,64,0.000125030055642128,4096,64,12.719667050987482
6,2.6666659396141768,4096,64,8.312053978443146e-05,4096,64,12.719667050987482
7,4.7851670533418655,4096,64,0.0017918646335601807,4096,64,12.719667050987482
8,3.607457969337702,4096,64,0.00062515027821064,4096,64,12.719667050987482
9,6.118665914982557,4096,64,0.000250060111284256,4096,64,12.719667050987482
10,6.136875133961439,4096,64,0.001125037670135498,4096,64,12.027041055262089
11,8.381082909181714,4096,64,0.0012079253792762756,4096,64,12.027041055262089
12,6.611458025872707,4096,64,0.0002919696271419525,4096,64,12.027041055262089
13,10.794499889016151,4096,64,0.0007920898497104645,4096,64,12.027041055262089
14,8.466041181236506,4096,64,4.190951585769653e-05,4096,64,12.027041055262089
15,15.079000033438206,4096,64,0.0005408655852079391,4096,64,12.027041055262089
16,16.080457950010896,4096,64,0.00037509016692638397,4096,64,12.027041055262089
17,20.942874951288104,4096,64,0.0010419171303510666,4096,64,12.027041055262089
18,10.417124954983592,4096,64,0.000916188582777977,4096,64,12.027041055262089
19,24.016916984692216,4096,64,0.000416068360209465,4096,64,12.027041055262089
20,9.295040974393487,4096,64,0.00029103830456733704,4096,64,17.27029192261398
21,2.7257080655544996,4096,64,0.0009159557521343231,4096,64,17.27029192261398
22,2.5537500623613596,4096,64,0.0004998873919248581,4096,64,17.27029192261398
23,2.6520409155637026,4096,64,0.0009587965905666351,4096,64,17.27029192261398
24,2.1812079939991236,4096,64,0.0002919696271419525,4096,64,17.27029192261398
25,2.2696249652653933,4096,64,4.21423465013504e-05,4096,64,17.27029192261398
26,2.091167028993368,4096,64,0.000125030055642128,4096,64,17.27029192261398
27,2.0228750072419643,4096,64,4.0978193283081055e-05,4096,64,17.27029192261398
28,2.2912079002708197,4096,64,0.0004998873919248581,4096,64,17.27029192261398
29,2.61554098688066,4096,64,0.000833999365568161,4096,64,17.27029192261398
30,2.1747921127825975,4096,64,0.0002498272806406021,4096,64,16.02925010956824
31,2.256167121231556,4096,64,0.000416068360209465,4096,64,16.02925010956824
32,2.2528329864144325,4096,64,0.00016693957149982452,4096,64,16.02925010956824
33,2.1299170330166817,4096,64,8.312053978443146e-05,4096,64,16.02925010956824
34,2.033083001151681,4096,64,8.288770914077759e-05,4096,64,16.02925010956824
35,2.9414589516818523,4096,64,0.0002498272806406021,4096,64,16.02925010956824
36,2.1783749107271433,4096,64,4.0978193283081055e-05,4096,64,16.02925010956824
37,2.0739580504596233,4096,64,8.288770914077759e-05,4096,64,16.02925010956824
38,2.128791995346546,4096,64,0.0001671724021434784,4096,64,16.02925010956824
39,2.404708880931139,4096,64,8.405186235904694e-05,4096,64,16.02925010956824
40,2.1255831234157085,4096,64,8.405186235904694e-05,4096,64,13.361542019993067
41,2.152916043996811,4096,64,0.0006670597940683365,4096,64,13.361542019993067
42,2.0785420201718807,4096,64,0.00016693957149982452,4096,64,13.361542019993067
43,2.9504168778657913,4096,64,0.001375097781419754,4096,64,13.361542019993067
44,2.4295831099152565,4096,64,0.00037509016692638397,4096,64,13.361542019993067
45,2.194541972130537,4096,64,0.00037509016692638397,4096,64,13.361542019993067
46,2.1177500020712614,4096,64,0.00016693957149982452,4096,64,13.361542019993067
47,2.1179579198360443,4096,64,0.000125030055642128,4096,64,13.361542019993067
48,2.06175004132092,4096,64,8.312053978443146e-05,4096,64,13.361542019993067
49,3.3169169910252094,4096,64,0.000791158527135849,4096,64,13.361542019993067
50,2.360832877457142,4096,64,0.00033294782042503357,4096,64,15.324374893680215
51,2.468833001330495,4096,64,0.0007499475032091141,4096,64,15.324374893680215
52,2.1162910852581263,4096,64,0.00020791776478290558,4096,64,15.324374893680215
53,2.3103340063244104,4096,64,0.00012479722499847412,4096,64,15.324374893680215
54,2.150333020836115,4096,64,0.000125030055642128,4096,64,15.324374893680215
55,2.1493330132216215,4096,64,0.00029103830456733704,4096,64,15.324374893680215
56,2.7399160899221897,4096,64,0.000959029421210289,4096,64,15.324374893680215
57,2.432791981846094,4096,64,4.190951585769653e-05,4096,64,15.324374893680215
58,2.103666076436639,4096,64,8.381903171539307e-05,4096,64,15.324374893680215
59,2.124875085428357,4096,64,8.288770914077759e-05,4096,64,15.324374893680215
60,2.0949169993400574,4096,64,0.00012479722499847412,4096,64,13.418709160760045
61,2.73470813408494,4096,64,0.000833999365568161,4096,64,13.418709160760045
62,3.0561669263988733,4096,64,0.0017499551177024841,4096,64,13.418709160760045
63,2.2371248342096806,4096,64,0.00045797787606716156,4096,64,13.418709160760045
64,2.14262492954731,4096,0,0.000250060111284256,4096,0,13.418709160760045
65,2.118834061548114,4096,0,0.00037509016692638397,4096,0,13.418709160760045
66,2.2819999139755964,4096,0,4.0978193283081055e-05,4096,0,13.418709160760045
67,2.0702090114355087,4096,0,0.000125030055642128,4096,0,13.418709160760045
68,2.9039159417152405,4096,0,0.001125037670135498,4096,0,13.418709160760045
69,2.2714168298989534,4096,0,0.0002919696271419525,4096,0,13.418709160760045
70,2.169791841879487,4096,0,0.00037509016692638397,4096,0,13.376125134527683
71,2.4631659034639597,4096,0,0.000541098415851593,4096,0,13.376125134527683
72,2.3455829359591007,4096,0,0.000250060111284256,4096,0,13.376125134527683
73,2.2835000418126583,4096,0,0.00012479722499847412,4096,0,13.376125134527683
74,2.0469999872148037,4096,0,8.405186235904694e-05,4096,0,13.376125134527683
75,3.2122088596224785,4096,0,0.001084059476852417,4096,0,13.376125134527683
76,2.1608329843729734,4096,0,0.0007080379873514175,4096,0,13.376125134527683
77,2.1104998886585236,4096,0,0.000125030055642128,4096,0,13.376125134527683
78,2.0958338864147663,4096,0,4.0978193283081055e-05,4096,0,13.376125134527683
79,2.128582913428545,4096,0,0.00020791776478290558,4096,0,13.376125134527683
80,2.282415982335806,4096,0,8.405186235904694e-05,4096,0,13.347083004191518
81,2.4283339735120535,4096,0,0.0005830079317092896,4096,0,13.347083004191518
82,3.06116696447134,4096,0,0.000500120222568512,4096,0,13.347083004191518
83,2.1600420586764812,4096,0,0.0004169996827840805,4096,0,13.347083004191518
84,2.348375041037798,4096,0,0.000250060111284256,4096,0,13.347083004191518
85,2.240207977592945,4096,0,0.000500120222568512,4096,0,13.347083004191518
86,2.177415881305933,4096,0,4.190951585769653e-05,4096,0,13.347083004191518
87,2.090292051434517,4096,0,0.000125030055642128,4096,0,13.347083004191518
88,2.724000019952655,4096,0,0.0006249174475669861,4096,0,13.347083004191518
89,2.5350828655064106,4096,0,0.0007918570190668106,4096,0,13.347083004191518
90,2.1349170710891485,4096,0,0.0004169996827840805,4096,0,16.733792144805193
91,2.139959018677473,4096,0,0.0005830079317092896,4096,0,16.733792144805193
92,2.12441710755229,4096,0,4.190951585769653e-05,4096,0,16.733792144805193
93,2.389957895502448,4096,0,0.00033294782042503357,4096,0,16.733792144805193
94,2.5297910906374454,4096,0,0.0007080379873514175,4096,0,16.733792144805193
95,2.188292099162936,4096,0,0.000500120222568512,4096,0,16.733792144805193
96,2.074499847367406,4096,0,0.000125030055642128,4096,0,16.733792144805193
97,2.0983340218663216,4096,0,4.21423465013504e-05,4096,0,16.733792144805193
98,2.1167919039726257,4096,0,0.000125030055642128,4096,0,16.733792144805193
99,2.3660410661250353,4096,0,0.0002919696271419525,4096,0,16.733792144805193
100,2.754374872893095,4096,0,0.00045890919864177704,4096,0,13.62875010818243
101,3.344666911289096,4096,0,0.0006249174475669861,4096,0,13.62875010818243
102,2.434834139421582,4096,0,0.000583939254283905,4096,0,13.62875010818243
103,2.2722920402884483,4096,0,8.405186235904694e-05,4096,0,13.62875010818243
104,2.10033287294209,4096,0,0.00012479722499847412,4096,0,13.62875010818243
105,2.7266668621450663,4096,0,0.001209089532494545,4096,0,13.62875010818243
106,2.599917119368911,4096,0,0.0005830079317092896,4096,0,13.62875010818243
107,2.130541019141674,4096,0,0.0,4096,0,13.62875010818243
108,2.1170421969145536,4096,0,0.0002498272806406021,4096,0,13.62875010818243
109,2.1528340876102448,4096,0,0.00020884908735752106,4096,0,13.62875010818243
110,2.3554579820483923,4096,0,0.000125030055642128,4096,0,13.431834056973457
111,4.557915963232517,4096,0,0.0004169996827840805,4096,0,13.431834056973457
112,2.930290997028351,4096,0,0.000833999365568161,4096,0,13.431834056973457
113,2.343833213672042,4096,0,0.0002919696271419525,4096,0,13.431834056973457
114,2.307375194504857,4096,0,0.00020884908735752106,4096,0,13.431834056973457
115,2.1626660600304604,4096,0,8.288770914077759e-05,4096,0,13.431834056973457
116,2.151082968339324,4096,0,0.00016600824892520905,4096,0,13.431834056973457
117,2.3713340051472187,4096,0,0.00045821070671081543,4096,0,13.431834056973457
118,2.325375098735094,4096,0,0.00062515027821064,4096,0,13.431834056973457
119,2.7230000123381615,4096,0,0.0005420297384262085,4096,0,13.431834056973457
120,2.3967078886926174,4096,0,0.000125030055642128,4096,0,15.337208984419703
121,2.390374895185232,4096,0,0.0005417969077825546,4096,0,15.337208984419703
122,2.1052081137895584,4096,0,0.000125030055642128,4096,0,15.337208984419703
123,2.0973749924451113,4096,0,8.312053978443146e-05,4096,0,15.337208984419703
124,3.244957886636257,4096,0,0.000959029421210289,4096,0,15.337208984419703
125,2.2858339361846447,4096,0,0.000125030055642128,4096,0,15.337208984419703
126,2.175167202949524,4096,0,0.00016693957149982452,4096,0,15.337208984419703
127,2.10349983535707,4096,0,0.000708969309926033,4096,0,15.337208984419703
128,2.2510001435875893,4096,0,0.00016693957149982452,4096,0,15.337208984419703
129,2.5947079993784428,4096,0,0.0015420373529195786,4096,0,15.337208984419703
130,2.3563329596072435,4096,0,0.00016600824892520905,4096,0,10.458417003974319
131,2.3712089750915766,4096,0,0.000500120222568512,4096,0,10.458417003974319
132,3.453250043094158,4096,0,0.000791158527135849,4096,0,10.458417003974319
133,2.164917066693306,4096,0,0.00020791776478290558,4096,0,10.458417003974319
134,2.1312499884516,4096,0,8.312053978443146e-05,4096,0,10.458417003974319
135,2.3992080241441727,4096,0,0.000125030055642128,4096,0,10.458417003974319
136,2.058542100712657,4096,0,4.0978193283081055e-05,4096,0,10.458417003974319
137,2.05437489785254,4096,0,0.00020791776478290558,4096,0,10.458417003974319
138,2.644374966621399,4096,0,0.0008749775588512421,4096,0,10.458417003974319
139,2.1764999255537987,4096,0,0.000125030055642128,4096,0,10.458417003974319
140,2.0728749223053455,4096,0,0.0001671724021434784,4096,0,11.91483298316598
141,2.227208111435175,4096,0,0.0005830079317092896,4096,0,11.91483298316598
142,2.0604999735951424,4096,0,0.00016600824892520905,4096,0,11.91483298316598
143,2.262667054310441,4096,0,0.0001671724021434784,4096,0,11.91483298316598
144,2.0882089156657457,4096,0,4.190951585769653e-05,4096,0,11.91483298316598
145,2.7177920565009117,4096,0,0.0008749775588512421,4096,0,11.91483298316598
146,2.289416966959834,4096,0,0.0004591420292854309,4096,0,11.91483298316598
147,2.3132089991122484,4096,0,0.000125030055642128,4096,0,11.91483298316598
148,2.1503339521586895,4096,0,0.00016600824892520905,4096,0,11.91483298316598
149,2.225459087640047,4096,0,8.405186235904694e-05,4096,0,11.91483298316598
150,2.110667061060667,4096,0,0.000250060111284256,4096,0,10.290374979376793
151,2.1838750690221786,4096,0,4.190951585769653e-05,4096,0,10.290374979376793
152,2.3334999568760395,4096,0,0.00020908191800117493,4096,0,10.290374979376793
153,2.861125161871314,4096,0,0.0018328428268432617,4096,0,10.290374979376793
154,2.4249160196632147,4096,0,0.000500120222568512,4096,0,10.290374979376793
155,2.1031671203672886,4096,0,0.00016693957149982452,4096,0,10.290374979376793
156,2.2228751331567764,4096,0,8.288770914077759e-05,4096,0,10.290374979376793
157,2.116583986207843,4096,0,8.288770914077759e-05,4096,0,10.290374979376793
158,2.1404579747468233,4096,0,8.405186235904694e-05,4096,0,10.290374979376793
159,2.9536248184740543,4096,0,0.0008749775588512421,4096,0,10.290374979376793
160,2.3288328666239977,4096,0,0.0004169996827840805,4096,0,11.082833167165518
161,3.3658749889582396,4096,0,0.0009580980986356735,4096,0,11.082833167165518
162,2.4047500919550657,4096,0,0.00020908191800117493,4096,0,11.082833167165518
163,2.4022499565035105,4096,0,0.00020815059542655945,4096,0,11.082833167165518
164,2.166624879464507,4096,0,0.00041583552956581116,4096,0,11.082833167165518
165,2.3823329247534275,4096,0,0.000125030055642128,4096,0,11.082833167165518
166,2.3513331543654203,4096,0,0.0009159557521343231,4096,0,11.082833167165518
167,2.835166873410344,4096,0,0.0009580980986356735,4096,0,11.082833167165518
168,2.2082501091063023,4096,0,0.000125030055642128,4096,0,11.082833167165518
169,2.2592078894376755,4096,0,0.00016693957149982452,4096,0,11.082833167165518
170,2.150125103071332,4096,0,4.190951585769653e-05,4096,0,11.735541047528386
171,2.206540899351239,4096,0,0.000583939254283905,4096,0,11.735541047528386
172,2.0929579623043537,4096,0,0.000250060111284256,4096,0,11.735541047528386
173,2.025499939918518,4096,0,0.00016600824892520905,4096,0,11.735541047528386
174,3.9727077819406986,4096,0,0.0007499475032091141,4096,0,11.735541047528386
175,2.215583110228181,4096,0,0.00020791776478290558,4096,0,11.735541047528386
176,2.143166959285736,4096,0,0.00016693957149982452,4096,0,11.735541047528386
177,2.1450831554830074,4096,0,0.000125030055642128,4096,0,11.735541047528386
178,2.111832844093442,4096,0,4.190951585769653e-05,4096,0,11.735541047528386
179,2.7084581088274717,4096,0,0.0015830155462026596,4096,0,11.735541047528386
180,2.5101250503212214,4096,0,0.0005841720849275589,4096,0,13.389583909884095
181,3.2823749352246523,4096,0,0.0006249174475669861,4096,0,13.389583909884095
182,2.1450419444590807,4096,0,0.00029103830456733704,4096,0,13.389583909884095
183,2.4417079985141754,4096,0,0.00037509016692638397,4096,0,13.389583909884095
184,2.13262508623302,4096,0,0.00016600824892520905,4096,0,13.389583909884095
185,2.0383328665047884,4096,0,4.190951585769653e-05,4096,0,13.389583909884095
186,3.1595828477293253,4096,0,0.0010409858077764511,4096,0,13.389583909884095
187,2.306874841451645,4096,0,0.0003748573362827301,4096,0,13.389583909884095
188,2.140540862455964,4096,0,0.00020791776478290558,4096,0,13.389583909884095
189,2.127000130712986,4096,0,4.0978193283081055e-05,4096,0,13.389583909884095
190,2.343249972909689,4096,0,4.21423465013504e-05,4096,0,13.124417047947645
191,2.2064161021262407,4096,0,0.00033294782042503357,4096,0,13.124417047947645
192,2.0803329534828663,4096,0,8.312053978443146e-05,4096,0,13.124417047947645
193,2.6463328395038843,4096,0,0.00062515027821064,4096,0,13.124417047947645
194,2.5338749401271343,4096,0,0.00033294782042503357,4096,0,13.124417047947645
195,2.1921670995652676,4096,0,0.0001671724021434784,4096,0,13.124417047947645
196,2.0697920117527246,4096,0,4.190951585769653e-05,4096,0,13.124417047947645
197,2.1352919284254313,4096,0,8.288770914077759e-05,4096,0,13.124417047947645
198,2.2822909522801638,4096,0,4.190951585769653e-05,4096,0,13.124417047947645
199,2.712458139285445,4096,0,0.0006249174475669861,4096,0,13.124417047947645
200,3.0544998589903116,4096,0,0.0012079253792762756,4096,0,15.807416988536716
201,2.506124787032604,4096,0,0.000500120222568512,4096,0,15.807416988536716
202,2.079916186630726,4096,0,0.000125030055642128,4096,0,15.807416988536716
203,2.0779999904334545,4096,0,0.000125030055642128,4096,0,15.807416988536716
204,2.319915918633342,4096,0,8.288770914077759e-05,4096,0,15.807416988536716
205,2.780499868094921,4096,0,0.0015830155462026596,4096,0,15.807416988536716
206,2.3570829071104527,4096,0,0.0003748573362827301,4096,0,15.807416988536716
207,2.339000115171075,4096,0,0.00016693957149982452,4096,0,15.807416988536716
208,2.107999986037612,4096,0,0.00016693957149982452,4096,0,15.807416988536716
209,2.142209094017744,4096,0,4.190951585769653e-05,4096,0,15.807416988536716
210,2.098709112033248,4096,0,8.288770914077759e-05,4096,0,13.497249921783805
211,2.268583979457617,4096,0,0.000500120222568512,4096,0,13.497249921783805
212,2.93737486936152,4096,0,0.0005830079317092896,4096,0,13.497249921783805
213,2.6915417984128,4096,0,0.0004998873919248581,4096,0,13.497249921783805
214,2.1887500770390034,4096,0,0.00020815059542655945,4096,0,13.497249921783805
215,2.4188330862671137,4072,0,0.0004591420292854309,4072,0,13.497249921783805
216,2.207915997132659,4001,0,8.288770914077759e-05,4001,0,13.497249921783805
217,2.006750088185072,3876,0,4.21423465013504e-05,3876,0,13.497249921783805
218,2.5683750864118338,3694,0,4.21423465013504e-05,3694,0,13.497249921783805
219,1.7992081120610237,3452,0,0.00033387914299964905,3452,0,13.497249921783805
220,1.472333213314414,3193,0,0.000125030055642128,3193,0,13.57695902697742
221,1.449541887268424,2932,0,0.000250060111284256,2932,0,13.57695902697742
222,1.328082988038659,2670,0,0.000125030055642128,2670,0,13.57695902697742
223,1.1041250545531511,2403,0,0.00016600824892520905,2403,0,13.57695902697742
224,1.0112919844686985,2136,0,0.000125030055642128,2136,0,13.57695902697742
225,0.8929579053074121,1865,0,4.190951585769653e-05,1865,0,13.57695902697742
226,0.7405001670122147,1592,0,8.288770914077759e-05,1592,0,13.57695902697742
227,0.6387920584529638,1319,0,8.405186235904694e-05,1319,0,13.57695902697742
228,0.4405418876558542,1044,0,4.190951585769653e-05,1044,0,13.57695902697742
229,0.36058295518159866,764,0,4.21423465013504e-05,764,0,13.57695902697742
230,0.20929193124175072,490,0,8.405186235904694e-05,490,0,6.85795908793807
231,0.17720786854624748,269,0,0.00045797787606716156,269,0,6.85795908793807
232,0.05183415487408638,109,0,8.312053978443146e-05,109,0,6.85795908793807
233,0.028291018679738045,18,0,8.405186235904694e-05,18,0,6.85795908793807
234,0.020292121917009354,0,0,4.190951585769653e-05,0,0,6.85795908793807
235,0.019582919776439667,0,0,0.000125030055642128,0,0,6.85795908793807
236,0.0191668514162302,0,0,4.21423465013504e-05,0,0,6.85795908793807
237,0.018999911844730377,0,0,8.312053978443146e-05,0,0,6.85795908793807
238,0.019750092178583145,0,0,8.312053978443146e-05,0,0,6.85795908793807
239,0.01874985173344612,0,0,4.21423465013504e-05,0,0,6.85795908793807
240,0.01845788210630417,0,0,4.190951585769653e-05,0,0,4.863000009208918
241,0.036667101085186005,0,0,0.00020815059542655945,0,0,4.863000009208918
242,0.023083994165062904,0,0,8.405186235904694e-05,0,0,4.863000009208918
243,0.019832979887723923,0,0,4.21423465013504e-05,0,0,4.863000009208918
244,0.018290942534804344,0,0,8.312053978443146e-05,0,0,4.863000009208918
245,0.01841713674366474,0,0,4.190951585769653e-05,0,0,4.863000009208918
246,0.018082791939377785,0,0,8.405186235904694e-05,0,0,4.863000009208918
247,0.017958227545022964,0,0,4.21423465013504e-05,0,0,4.863000009208918
