pixel_error,mlod_ms_min,mlod_ms_p50,mlod_ms_mean,mlod_ms_p95,mlod_ms_max,stream_ms_min,stream_ms_p50,stream_ms_mean,stream_ms_p95,stream_ms_max,frames
0.5,4.535,22.805,22.041,35.151,44.754,0.014,2.607,2.386,3.351,23.159,300
1.0,4.781,12.954,12.095,16.100,21.009,0.014,2.604,2.655,3.133,56.712,300
1.5,4.710,13.335,12.321,17.692,18.535,0.014,2.514,2.372,2.987,23.005,300
2.0,4.671,12.904,11.382,15.247,15.939,0.015,2.603,2.442,3.174,23.938,300
3.0,4.728,13.386,12.352,15.577,20.138,0.015,2.518,2.576,3.003,39.628,300
