frame,stream_ms,visible,upload_est,overlay_stream_ms,overlay_visible,overlay_upload_est,mlod_ms
0,0.9683750104159117,4096,64,0.6994579453021288,4096,64,
1,3.7536248564720154,4096,64,1.2483340688049793,4096,64,
2,1.4362919609993696,4096,64,0.7550418376922607,4096,64,
3,2.192416926845908,4096,64,1.349416095763445,4096,64,
4,2.803332870826125,4096,64,0.9640830103307962,4096,64,
5,3.209084039554,4096,64,2.9251249507069588,4096,64,
6,3.1939998734742403,4096,64,1.0962081141769886,4096,64,
7,5.3646250162273645,4096,64,2.7657081373035908,4096,64,
8,7.723917020484805,4096,64,1.4918330125510693,4096,64,
9,7.6959580183029175,4096,64,5.111916922032833,4096,64,
10,7.9615002032369375,4096,64,2.3291250690817833,4096,64,
11,11.506084119901061,4096,64,5.779375089332461,4096,64,
12,12.99370895139873,4096,64,2.627332927659154,4096,64,
13,14.896000036969781,4096,64,7.921250071376562,4096,64,
14,18.446916015818715,4096,64,2.882499946281314,4096,64,
15,22.155834129080176,4096,64,8.99662496522069,4096,64,
16,17.12366589345038,4096,64,4.458500072360039,4096,64,
17,22.480082930997014,4096,64,8.96391598507762,4096,64,
18,3.776959143579006,4096,64,7.239833939820528,4096,64,
19,2.646666020154953,4096,64,13.287416892126203,4096,64,
20,2.6512921322137117,4096,64,8.150000125169754,4096,64,
21,3.2327088993042707,4096,64,14.915042091161013,4096,64,
22,2.612832933664322,4096,64,15.097958035767078,4096,64,
23,2.8957920148968697,4096,64,13.869000133126974,4096,64,
24,2.65279202722013,4096,64,13.47920810803771,4096,64,
25,2.523041795939207,4096,64,15.644208062440157,4096,64,
26,2.337916987016797,4096,64,5.369207821786404,4096,64,
27,2.494750078767538,4096,64,2.8688330203294754,4096,64,
28,2.7875411324203014,4096,64,2.2290002088993788,4096,64,
29,2.360292011871934,4096,64,2.159500028938055,4096,64,
30,2.304124878719449,4096,64,2.114000031724572,4096,64,
31,3.597957780584693,4096,64,2.320416970178485,4096,64,
32,2.4097501300275326,4096,64,2.224500058218837,4096,64,
33,2.324666129425168,4096,64,2.2636668290942907,4096,64,
34,3.17416712641716,4096,64,4.567833850160241,4096,64,
35,2.505249809473753,4096,64,2.179790986701846,4096,64,
36,2.2793328389525414,4096,64,2.1405830048024654,4096,64,
37,3.4845001064240932,4096,64,2.1937089040875435,4096,64,
38,2.2983341477811337,4096,64,2.2355420514941216,4096,64,
39,2.3106250446289778,4096,64,2.2279168479144573,4096,64,
40,3.201916115358472,4096,64,2.577417064458132,4096,64,
41,2.620792016386986,4096,64,2.218207810074091,4096,64,
42,2.7240419294685125,4096,64,2.1072919480502605,4096,64,
43,3.0349160078912973,4096,64,2.294624922797084,4096,64,
44,2.5865421630442142,4096,64,2.1745827980339527,4096,64,
45,2.3727500811219215,4096,64,2.1318329963833094,4096,64,
46,2.9066249262541533,4096,64,2.4455829989165068,4096,64,
47,2.3316671140491962,4096,64,2.165042096748948,4096,64,
48,2.6612498331815004,4096,64,2.1783749107271433,4096,64,
49,2.328667091205716,4096,64,3.087374847382307,4096,64,
50,2.392499940469861,4096,64,2.1934579126536846,4096,64,
51,2.2630831226706505,4096,64,2.2843750193715096,4096,64,
52,2.5377918500453234,4096,64,2.8784999158233404,4096,64,
53,2.830083016306162,4096,64,2.170208841562271,4096,64,
54,2.2874579299241304,4096,64,2.1861251443624496,4096,64,
55,2.2845829371362925,4096,64,5.552957998588681,4096,64,
56,2.548457821831107,4096,64,2.1440000273287296,4096,64,
57,2.4467080365866423,4096,64,2.173583023250103,4096,64,
58,2.2352919913828373,4096,64,2.7837089728564024,4096,64,
59,2.3393330629915,4096,64,2.145207952708006,4096,64,
60,2.3178330156952143,4096,64,2.1706249099224806,4096,64,
61,2.5531670544296503,4096,64,3.180457977578044,4096,64,
62,2.615709090605378,4096,64,2.2224169224500656,4096,64,
63,2.603166038170457,4096,64,2.1075839176774025,4096,64,
64,2.3414171300828457,4096,0,2.778708003461361,4096,0,
65,2.88441707380116,4096,0,2.257040934637189,4096,0,
66,2.386874984949827,4096,0,2.1817078813910484,4096,0,
67,2.230083104223013,4096,0,3.0854579526931047,4096,0,
68,2.4814580101519823,4096,0,2.1977080032229424,4096,0,
69,2.340582897886634,4096,0,2.121583092957735,4096,0,
70,2.5382922030985355,4096,0,3.22945904918015,4096,0,
71,2.6823331136256456,4096,0,2.1618339233100414,4096,0,
72,2.5245838332921267,4096,0,2.1334579214453697,4096,0,
73,2.3218749556690454,4096,0,3.0652079731225967,4096,0,
74,2.776165958493948,4096,0,2.509125042706728,4096,0,
75,2.472375053912401,4096,0,2.2282919380813837,4096,0,
76,2.371917013078928,4096,0,3.5127918235957623,4096,0,
77,2.3847909178584814,4096,0,2.2150410804897547,4096,0,
78,2.5507090613245964,4096,0,2.1321249660104513,4096,0,
79,2.2553750313818455,4096,0,3.0294170137494802,4096,0,
80,2.3889997974038124,4096,0,2.1812920458614826,4096,0,
81,2.2655001375824213,4096,0,2.194833941757679,4096,0,
82,2.2804588079452515,4096,0,2.9117080848664045,4096,0,
83,2.6327918749302626,4096,0,2.23687500692904,4096,0,
84,2.5705001316964626,4096,0,2.191874897107482,4096,0,
85,2.521499991416931,4096,0,3.1291248742491007,4096,0,
86,2.4033330846577883,4096,0,2.1790829487144947,4096,0,
87,2.570332959294319,4096,0,2.281708177179098,4096,0,
88,2.3155000526458025,4096,0,2.9131670016795397,4096,0,
89,2.899999963119626,4096,0,2.2437081206589937,4096,0,
90,2.317999955266714,4096,0,2.270583063364029,4096,0,
91,2.2862921468913555,4096,0,3.136041108518839,4096,0,
92,3.00808297470212,4096,0,2.3991249036043882,4096,0,
93,2.5859170127660036,4096,0,2.169207902625203,4096,0,
94,2.495415974408388,4096,0,2.971207955852151,4096,0,
95,2.4159159511327744,4096,0,2.2154171019792557,4096,0,
96,2.54100002348423,4096,0,2.1963331382721663,4096,0,
97,2.3034170735627413,4096,0,2.999040996655822,4096,0,
98,2.3683749604970217,4096,0,2.1685841493308544,4096,0,
99,2.3366669192910194,4096,0,2.4066250771284103,4096,0,
100,2.61187506839633,4096,0,2.746625104919076,4096,0,
101,2.661874983459711,4096,0,2.230917103588581,4096,0,
102,2.327374881133437,4096,0,2.168416976928711,4096,0,
103,2.2580421064049006,4096,0,2.1359999664127827,4096,0,
104,2.6900831144303083,4096,0,2.2176250349730253,4096,0,
105,2.541791880503297,4096,0,2.1662090439349413,4096,0,
106,2.5716249365359545,4096,0,2.42433394305408,4096,0,
107,2.6951669715344906,4096,0,2.23670806735754,4096,0,
108,2.2725840099155903,4096,0,2.1827497985213995,4096,0,
109,2.4904999881982803,4096,0,2.6123749557882547,4096,0,
110,2.4975829292088747,4096,0,2.1891670767217875,4096,0,
111,2.340334001928568,4096,0,2.229707781225443,4096,0,
112,2.4011668283492327,4096,0,2.1696670446544886,4096,0,
113,2.9140410479158163,4096,0,2.463500015437603,4096,0,
114,2.641999861225486,4096,0,2.0944999996572733,4096,0,
115,2.5498750619590282,4096,0,2.1435001399368048,4096,0,
116,3.414958016946912,4096,0,2.3027919232845306,4096,0,
117,2.3384590167552233,4096,0,2.136165974661708,4096,0,
118,2.5401669554412365,4096,0,2.1146670915186405,4096,0,
119,3.2455839682370424,4096,0,2.4237080942839384,4096,0,
120,2.4391249753534794,4096,0,2.2003750782459974,4096,0,
121,2.3215420078486204,4096,0,2.126124920323491,4096,0,
122,3.56737500987947,4096,0,2.2207091096788645,4096,0,
123,2.3330419789999723,4096,0,2.1676248870790005,4096,0,
124,2.380124991759658,4096,0,2.1527500357478857,4096,0,
125,2.686375053599477,4096,0,2.673584036529064,4096,0,
126,2.318665850907564,4096,0,2.2399998269975185,4096,0,
127,2.5693748611956835,4096,0,2.1519160363823175,4096,0,
128,3.5372080747038126,4096,0,2.1992081310600042,4096,0,
129,2.5691671762615442,4096,0,2.12524994276464,4096,0,
130,2.3162090219557285,4096,0,2.2762080188840628,4096,0,
131,3.178457962349057,4096,0,2.230958081781864,4096,0,
132,2.3377500474452972,4096,0,2.1419168915599585,4096,0,
133,2.268207957968116,4096,0,2.1700419019907713,4096,0,
134,2.2313750814646482,4096,0,3.003207966685295,4096,0,
135,2.3152499925345182,4096,0,2.165958983823657,4096,0,
136,2.5866669602692127,4096,0,2.257749903947115,4096,0,
137,2.5315419770777225,4096,0,2.6575420051813126,4096,0,
138,3.1629169825464487,4096,0,2.259708009660244,4096,0,
139,2.356500132009387,4096,0,2.200457965955138,4096,0,
140,2.497500041499734,4096,0,3.0888328328728676,4096,0,
141,2.3930410388857126,4096,0,2.1929580252617598,4096,0,
142,2.2747500333935022,4096,0,2.1867910400032997,4096,0,
143,2.2514169104397297,4096,0,2.967625157907605,4096,0,
144,2.712500048801303,4096,0,2.2333748638629913,4096,0,
145,2.261374844238162,4096,0,2.1886250469833612,4096,0,
146,2.26762518286705,4096,0,2.4970408994704485,4096,0,
147,2.4632499553263187,4096,0,2.230083104223013,4096,0,
148,2.3710839450359344,4096,0,2.1905831526964903,4096,0,
149,2.5470422115176916,4096,0,2.1909999195486307,4096,0,
150,3.2677920535206795,4096,0,2.4340420495718718,4096,0,
151,2.695957897230983,4096,0,2.2006251383572817,4096,0,
152,2.274458995088935,4096,0,2.870208118110895,4096,0,
153,2.7417500969022512,4096,0,2.280707936733961,4096,0,
154,2.2972500883042812,4096,0,2.1490841172635555,4096,0,
155,2.2674589417874813,4096,0,2.138416050001979,4096,0,
156,2.9104589484632015,4096,0,2.1911251824349165,4096,0,
